date,region,commodity,commodity_group,category,oni,enso_phase,price_php
2005-06-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",0.1,Neutral,106.09
2005-06-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,0.1,Neutral,21.38
2005-06-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",0.1,Neutral,114.44
2005-06-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,0.1,Neutral,22.0
2005-07-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,118.0
2005-07-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,21.2
2005-07-01,Region XI,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,107.93
2005-07-01,Region XI,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,22.2
2005-07-01,Region XII,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,117.0
2005-07-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,22.7
2005-08-01,Region III,Meat (pork),Meat,"meat, fish and eggs",-0.1,Neutral,117.86
2005-08-01,Region III,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,22.0
2005-08-01,Region XII,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,22.25
2005-09-01,Region VII,"Rice (regular, milled)",Rice,cereals and tubers,-0.1,Neutral,21.5
